Name,Language,Content
Advertisement,C++,"#include <bits/stdc++.h>
#include <ext/pb_ds/tree_policy.hpp>
#include <ext/pb_ds/assoc_container.hpp>

using namespace std;
using namespace __gnu_pbds;

typedef long long ll;
typedef vector<int> vi;
typedef pair<int, int> pii;
template <class T> using Tree = tree<T, null_type, less<T>, rb_tree_tag,tree_order_statistics_node_update>;

#define FOR(i, a, b) for (int i=a; i<(b); i++)
#define F0R(i, a) for (int i=0; i<(a); i++)
#define FORd(i,a,b) for (int i = (b)-1; i >= a; i--)
#define F0Rd(i,a) for (int i = (a)-1; i >= 0; i--)

#define sz(x) (int)(x).size()
#define mp make_pair
#define pb push_back
#define f first
#define s second
#define lb lower_bound
#define ub upper_bound
#define all(x) x.begin(), x.end()

const int MOD = 1000000007;

template<int SZ> struct DSU {
    int par[SZ], sz[SZ];
    DSU() {
        F0R(i,SZ) par[i] = -1, sz[i] = 1;
    }
    
    int get(int x) { // path compression
        if (par[x] != x) par[x] = get(par[x]);
        return par[x];
    }
    
    bool unite(int x, int y) { // union-by-rank
        x = get(x), y = get(y);
        if (x == y) return 0;
        if (sz[x] < sz[y]) swap(x,y);
        sz[x] += sz[y], par[y] = x;
        return 1;
    }
};

DSU<500000> D;
int n;
vector<pii> v;

int main() {
    ios_base::sync_with_stdio(0); cin.tie(0);
    cin >> n;
    F0R(i,n) {
        int h; cin >> h;
        v.pb({h,i});
    }
    sort(v.rbegin(),v.rend());
    
    ll ans = 0;
    for (auto a: v) {
        D.par[a.s] = a.s;
        if (a.s > 0 && D.par[a.s-1] != -1) D.unite(a.s,a.s-1);
        if (a.s < n-1 && D.par[a.s+1] != -1) D.unite(a.s,a.s+1);
        ans = max(ans,a.f*(ll)D.sz[D.get(a.s)]);
    }
    cout << ans;
}

// read!read!read!read!read!read!read!read!read!read!read!read!read!read!read!read!
// ll vs. int!
"
Advertisement,C++,"#include <bits/stdc++.h>
using namespace std;

#define rep(i, a, b) for(int i = a; i < (b); ++i)
#define trav(a, x) for(auto& a : x)
#define all(x) begin(x), end(x)
#define sz(x) (int)(x).size()
typedef long long ll;
typedef pair<int, int> pii;
typedef vector<int> vi;

int main() {
    cin.sync_with_stdio(0); cin.tie(0);
    cin.exceptions(cin.failbit);
    
    int n;
    cin >> n;
    vi x(n+2);
    rep(i, 1, n+1) cin >> x[i];
    vi L(n+2), R(n+2);
    vi s(1);
    rep(i, 1, n+1) {
        while (x[i]<=x[s.back()])
            s.pop_back();
        L[i]=s.back();
        s.push_back(i);
    }
    s.assign(1, n+1);
    for(int i=n; i>0; i--) {
        while (x[i]<=x[s.back()])
            s.pop_back();
        R[i]=s.back();
        s.push_back(i);
    }
    ll ans=0;
    rep(i, 1, n+1)
    ans=max(ans, 1LL*x[i]*(R[i]-L[i]-1));
    cout << ans << '\n';
    return 0;
}
"
Advertisement,Java,"// https://cses.fi/problemset/task/1142
// Advertisement
import java.io.*;
import java.util.*;

public class CSES1142 {
    public static void main(String[] args) throws IOException {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        int n = Integer.parseInt(br.readLine());
        StringTokenizer st = new StringTokenizer(br.readLine());
        int[] aa = new int[1 + n + 1];
        for (int i = 1; i <= n; i++)
            aa[i] = Integer.parseInt(st.nextToken());
        int[] stack = new int[1 + n];
        int cnt = 0;
        stack[cnt++] = 0;
        int[] ll = new int[1 + n];
        for (int i = 1; i <= n; i++) {
            while (cnt > 0 && aa[stack[cnt - 1]] >= aa[i])
                cnt--;
            ll[i] = stack[cnt - 1];
            stack[cnt++] = i;
        }
        cnt = 0;
        stack[cnt++] = n + 1;
        int[] rr = new int[1 + n];
        for (int i = n; i >= 1; i--) {
            while (cnt > 0 && aa[stack[cnt - 1]] >= aa[i])
                cnt--;
            rr[i] = stack[cnt - 1];
            stack[cnt++] = i;
        }
        long ans = 0;
        for (int i = 1; i <= n; i++)
            ans = Math.max(ans, (long) (rr[i] - ll[i] - 1) * aa[i]);
        System.out.println(ans);
    }
}
"
Advertisement,C++,"/*
 https://cses.fi/problemset/task/1142
 Advertisement
 */
#include <stdio.h>

#define N    500000

int main() {
    static int aa[1 + N + 1], stack[1 + N], ll[1 + N], rr[1 + N];
    int n, i, cnt;
    long long ans;
    
    scanf(""%d"", &n);
    for (i = 1; i <= n; i++)
        scanf(""%d"", &aa[i]);
    cnt = 0;
    stack[cnt++] = 0;
    for (i = 1; i <= n; i++) {
        while (cnt && aa[stack[cnt - 1]] >= aa[i])
            cnt--;
        ll[i] = stack[cnt - 1];
        stack[cnt++] = i;
    }
    cnt = 0;
    stack[cnt++] = n + 1;
    for (i = n; i >= 1; i--) {
        while (cnt && aa[stack[cnt - 1]] >= aa[i])
            cnt--;
        rr[i] = stack[cnt - 1];
        stack[cnt++] = i;
    }
    ans = 0;
    for (i = 1; i <= n; i++) {
        long long x = (long long) (rr[i] - ll[i] - 1) * aa[i];
        
        if (ans < x)
            ans = x;
    }
    printf(""%lld\n"", ans);
    return 0;
}
"
Area of Rectangles,C++,"/*
 ID: bqi3431
 PROG: ~
 LANG: C++11
 */

#pragma GCC optimize (""O3"")
#pragma GCC target (""sse4"")

#include <bits/stdc++.h>
#include <ext/pb_ds/tree_policy.hpp>
#include <ext/pb_ds/assoc_container.hpp>
#include <ext/rope>

using namespace std;
using namespace __gnu_pbds;
using namespace __gnu_cxx;

typedef long long ll;
typedef long double ld;
typedef complex<ld> cd;

typedef pair<int, int> pi;
typedef pair<ll,ll> pl;
typedef pair<ld,ld> pd;

typedef vector<int> vi;
typedef vector<ld> vd;
typedef vector<ll> vl;
typedef vector<pi> vpi;
typedef vector<pl> vpl;
typedef vector<cd> vcd;

template <class T> using Tree = tree<T, null_type, less<T>, rb_tree_tag,tree_order_statistics_node_update>;

#define FOR(i, a, b) for (int i = (a); i < (b); i++)
#define F0R(i, a) for (int i = 0; i < (a); i++)
#define FORd(i,a,b) for (int i = (b)-1; i >= (a); i--)
#define F0Rd(i,a) for (int i = (a)-1; i >= 0; i--)
#define trav(a, x) for (auto& a : x)

#define mp make_pair
#define pb push_back
#define f first
#define s second
#define lb lower_bound
#define ub upper_bound

#define sz(x) (int)x.size()
#define beg(x) x.begin()
#define en(x) x.end()
#define all(x) beg(x), en(x)
#define resz resize

const int MOD = 1000000007; // 998244353
const ll INF = 1e18;
const int MX = 200005;
const ld PI = 4*atan((ld)1);

template<class T> void ckmin(T &a, T b) { a = min(a, b); }
template<class T> void ckmax(T &a, T b) { a = max(a, b); }

namespace input {
    template<class T> void re(complex<T>& x);
    template<class T1, class T2> void re(pair<T1,T2>& p);
    template<class T> void re(vector<T>& a);
    template<class T, size_t SZ> void re(array<T,SZ>& a);
    
    template<class T> void re(T& x) { cin >> x; }
    void re(double& x) { string t; re(t); x = stod(t); }
    void re(ld& x) { string t; re(t); x = stold(t); }
    template<class Arg, class... Args> void re(Arg& first, Args&... rest) {
        re(first); re(rest...);
    }
    
    template<class T> void re(complex<T>& x) { T a,b; re(a,b); x = cd(a,b); }
    template<class T1, class T2> void re(pair<T1,T2>& p) { re(p.f,p.s); }
    template<class T> void re(vector<T>& a) { F0R(i,sz(a)) re(a[i]); }
    template<class T, size_t SZ> void re(array<T,SZ>& a) { F0R(i,SZ) re(a[i]); }
}

using namespace input;

namespace output {
    template<class T1, class T2> void pr(const pair<T1,T2>& x);
    template<class T, size_t SZ> void pr(const array<T,SZ>& x);
    template<class T> void pr(const vector<T>& x);
    template<class T> void pr(const set<T>& x);
    template<class T1, class T2> void pr(const map<T1,T2>& x);
    
    template<class T> void pr(const T& x) { cout << x; }
    template<class Arg, class... Args> void pr(const Arg& first, const Args&... rest) {
        pr(first); pr(rest...);
    }
    
    template<class T1, class T2> void pr(const pair<T1,T2>& x) {
        pr(""{"",x.f,"", "",x.s,""}"");
    }
    template<class T> void prContain(const T& x) {
        pr(""{"");
        bool fst = 1; for (const auto& a: x) pr(!fst?"", "":"""",a), fst = 0; // const needed for vector<bool>
        pr(""}"");
    }
    template<class T, size_t SZ> void pr(const array<T,SZ>& x) { prContain(x); }
    template<class T> void pr(const vector<T>& x) { prContain(x); }
    template<class T> void pr(const set<T>& x) { prContain(x); }
    template<class T1, class T2> void pr(const map<T1,T2>& x) { prContain(x); }
    
    void ps() { pr(""\n""); }
    template<class Arg> void ps(const Arg& first) {
        pr(first); ps(); // no space at end of line
    }
    template<class Arg, class... Args> void ps(const Arg& first, const Args&... rest) {
        pr(first,"" ""); ps(rest...); // print w/ spaces
    }
}

using namespace output;

namespace io {
    void setIn(string s) { freopen(s.c_str(),""r"",stdin); }
    void setOut(string s) { freopen(s.c_str(),""w"",stdout); }
    void setIO(string s = """") {
        ios_base::sync_with_stdio(0); cin.tie(0); // fast I/O
        if (sz(s)) { setIn(s+"".in""), setOut(s+"".out""); } // for USACO
    }
}

using namespace io;

template<class T> T invGeneral(T a, T b) {
    a %= b; if (a == 0) return b == 1 ? 0 : -1;
    T x = invGeneral(b,a);
    return x == -1 ? -1 : ((1-(ll)b*x)/a+b)%b;
}

template<class T> struct modular {
    T val;
    explicit operator T() const { return val; }
    modular() { val = 0; }
    template<class U> modular(const U& v) {
        val = (-MOD <= v && v <= MOD) ? v : v % MOD;
        if (val < 0) val += MOD;
    }
    friend ostream& operator<<(ostream& os, const modular& a) { return os << a.val; }
    friend bool operator==(const modular& a, const modular& b) { return a.val == b.val; }
    friend bool operator!=(const modular& a, const modular& b) { return !(a == b); }
    
    modular operator-() const { return modular(-val); }
    modular& operator+=(const modular& m) { if ((val += m.val) >= MOD) val -= MOD; return *this; }
    modular& operator-=(const modular& m) { if ((val -= m.val) < 0) val += MOD; return *this; }
    modular& operator*=(const modular& m) { val = (ll)val*m.val%MOD; return *this; }
    friend modular exp(modular a, ll p) {
        modular ans = 1; for (; p; p /= 2, a *= a) if (p&1) ans *= a;
        return ans;
    }
    friend modular inv(const modular& a) { return invGeneral(a.val,MOD); }
    // inv is equivalent to return exp(b,b.mod-2) if prime
    modular& operator/=(const modular& m) { return (*this) *= inv(m); }
    
    friend modular operator+(modular a, const modular& b) { return a += b; }
    friend modular operator-(modular a, const modular& b) { return a -= b; }
    friend modular operator*(modular a, const modular& b) { return a *= b; }
    
    friend modular operator/(modular a, const modular& b) { return a /= b; }
};

typedef modular<int> mi;
typedef pair<mi,mi> pmi;
typedef vector<mi> vmi;
typedef vector<pmi> vpmi;

template<class T, int SZ> struct LazySegTree {
    T lazy[2*SZ]; // set SZ to a power of 2
    pi mn[2*SZ];
    
    LazySegTree() {
        memset (mn,0,sizeof mn);
        memset (lazy,0,sizeof lazy);
    }
    
    void push(int ind, int L, int R) {
        mn[ind].f += lazy[ind];
        if (L != R) lazy[2*ind] += lazy[ind], lazy[2*ind+1] += lazy[ind];
        lazy[ind] = 0;
    }
    
    pi comb(pi a, pi b) {
        if (a.f != b.f) return min(a,b);
        return {a.f,a.s+b.s};
    }
    
    void pull(int ind) {
        mn[ind] = comb(mn[2*ind],mn[2*ind+1]);
    }
    
    void build() {
        FOR(i,SZ,2*SZ) mn[i] = {0,1};
        FORd(i,1,SZ) pull(i);
    }
    
    void upd(int lo, int hi, ll inc, int ind = 1, int L = 0, int R = SZ-1) {
        push(ind,L,R);
        if (hi < L || R < lo) return;
        if (lo <= L && R <= hi) {
            lazy[ind] = inc;
            push(ind,L,R);
            return;
        }
        
        int M = (L+R)/2;
        upd(lo,hi,inc,2*ind,L,M); upd(lo,hi,inc,2*ind+1,M+1,R);
        pull(ind);
    }
};

LazySegTree<int,1<<21> L;
int n;

int main() {
    setIO(); re(n);
    vector<array<int,4>> mod;
    F0R(i,n) {
        int x1,y1,x2,y2; re(x1,y1,x2,y2);
        x1 += 1000000;
        x2 += 1000000;
        y1 += 1000000;
        y2 += 1000000;
        mod.pb({x1,1,y1,y2-1});
        mod.pb({x2,-1,y1,y2-1});
    }
    sort(all(mod));
    int ind = 0;
    ll ans = 0;
    L.build();
    // ps(1<<21,L.mn[1].s);
    F0R(x,2000000) {
        while (ind < sz(mod) && mod[ind][0] == x) {
            L.upd(mod[ind][2],mod[ind][3],mod[ind][1]);
            ind ++;
        }
        ans += (1<<21)-L.mn[1].s;
    }
    ps(ans);
    // you should actually read the stuff at the bottom
}

/* stuff you should look for
 * int overflow, array bounds
 * special cases (n=1?), set tle
 * do smth instead of nothing and stay organized
 */
"
Area of Rectangles,C++,"#include <bits/stdc++.h>
using namespace std;

#define rep(i, a, b) for(int i = a; i < (b); ++i)
#define trav(a, x) for(auto& a : x)
#define all(x) begin(x), end(x)
#define sz(x) (int)(x).size()
typedef long long ll;
typedef pair<int, int> pii;
typedef vector<int> vi;

const int inf = 1e9;
struct Node {
    Node *l = 0, *r = 0;
    int lo, hi, madd = 0, val = 0;
    Node(int lo,int hi):lo(lo),hi(hi){} // Large interval of 0
    void add(int L, int R, int x) {
        if (R <= lo || hi <= L) return;
        if (L <= lo && hi <= R)
            madd += x;
        else
            push(), l->add(L, R, x), r->add(L, R, x);
        if (madd) val=hi-lo;
        else val=(l? l->val:0)+(r? r->val:0);
    }
    void push() {
        if (!l) {
            int mid = lo + (hi - lo)/2;
            l = new Node(lo, mid); r = new Node(mid, hi);
        }
    }
};

int main() {
    cin.sync_with_stdio(0); cin.tie(0);
    cin.exceptions(cin.failbit);
    
    int n;
    cin >> n;
    map<int, vector<array<int, 3>>> e;
    rep(i, 0, n) {
        int x1, y1, x2, y2;
        cin >> x1 >> y1 >> x2 >> y2;
        e[x1].push_back({y1, y2, 1});
        e[x2].push_back({y1, y2, -1});
    }
    Node *tr = new Node(-inf, inf);
    ll x=-inf, ans=0;
    trav(a, e) trav(p, a.second) {
        ans+=(a.first-x)*tr->val;
        tr->add(p[0], p[1], p[2]);
        x=a.first;
    }
    cout << ans << '\n';
    return 0;
}
"
Area of Rectangles,Java,"// https://cses.fi/problemset/task/1741
// Area of Rectangles
// practice with rainboy
import java.io.*;
import java.util.*;

public class CSES1741 extends PrintWriter {
    CSES1741() { super(System.out); }
    static class Scanner {
        Scanner(InputStream in) { this.in = in; } InputStream in;
        int k, l; byte[] bb = new byte[1 << 15];
        byte getc() {
            if (k >= l) {
                k = 0;
                try { l = in.read(bb); } catch (IOException e) { l = 0; }
                if (l <= 0) return -1;
            }
            return bb[k++];
        }
        int nextInt() {
            byte c = 0; while (c <= 32) c = getc();
            boolean minus = c == '-'; if (minus) c = getc();
            int a = 0;
            while (c > 32) { a = a * 10 + c - '0'; c = getc(); }
            return minus ? -a : a;
        }
    }
    Scanner sc = new Scanner(System.in);
    public static void main(String[] $) {
        CSES1741 o = new CSES1741(); o.main(); o.flush();
    }
    
    static final int Z = 1000000, A = 1 << 21;
    static class V {
        int y, l, r;
        boolean add;
        V(int y, int l, int r, boolean add) {
            this.y = y; this.l = l; this.r = r; this.add = add;
        }
    }
    int[] tr, zz;
    void update(int k, int l, int r, int ql, int qr, int x) {
        if (qr <= l || r <= ql)
            return;
        int k1 = k * 2 + 1, k2 = k * 2 + 2;
        if (ql <= l && r <= qr)
            zz[k] += x;
        else {
            int m = (l + r) / 2;
            update(k1, l, m, ql, qr, x);
            update(k2, m, r, ql, qr, x);
        }
        tr[k] = zz[k] > 0 ? r - l : r - l == 1 ? 0 : tr[k1] + tr[k2];
    }
    void main() {
        int n = sc.nextInt();
        V[] vv = new V[n * 2];
        int m = 0;
        for (int i = 0; i < n; i++) {
            int x1 = sc.nextInt() + Z;
            int y1 = sc.nextInt() + Z;
            int x2 = sc.nextInt() + Z;
            int y2 = sc.nextInt() + Z;
            vv[m++] = new V(y1, x1, x2, true);
            vv[m++] = new V(y2, x1, x2, false);
        }
        Arrays.sort(vv, (u, v) -> u.y - v.y);
        tr = new int[A * 2];
        zz = new int[A * 2];
        int y = -1;
        long ans = 0;
        for (int h = 0; h < m; h++) {
            V v = vv[h];
            if (y != -1)
                ans += (long) (v.y - y) * tr[0];
            y = v.y;
            update(0, 0, A, v.l, v.r, v.add ? 1 : -1);
        }
        println(ans);
    }
}
"
Area of Rectangles,C++,"/*
 https://cses.fi/problemset/task/1741
 Area of Rectangles
 practice with Dukkha
 */
#include <stdio.h>
#include <stdlib.h>
#include <sys/time.h>

#define N    100000
#define Z    1000000
#define A    (1 << 21)

struct V {
    int y, l, r, add;
} vv[N * 2];

void init_rand() {
    struct timeval tv;
    
    gettimeofday(&tv, NULL);
    srand(tv.tv_sec ^ tv.tv_usec);
}

int rand_(int n) {
    return (rand() * 45677LL + rand()) % n;
}

int compare(const void *a, const void *b) {
    struct V *u = (struct V *) a;
    struct V *v = (struct V *) b;
    
    return u->y - v->y;
}

int tr[A * 2], zz[A * 2];

void update(int k, int l, int r, int ql, int qr, int x) {
    int k1, k2;
    
    if (qr <= l || r <= ql)
        return;
    k1 = k * 2 + 1;
    k2 = k * 2 + 2;
    if (ql <= l && r <= qr)
        zz[k] += x;
    else {
        int m = (l + r) / 2;
        
        update(k1, l, m, ql, qr, x);
        update(k2, m, r, ql, qr, x);
    }
    tr[k] = zz[k] ? r - l : r - l == 1 ? 0 : tr[k1] + tr[k2];
}

int main() {
    int n, m, h, i, j, x1, y1, x2, y2, y;
    long long ans;
    struct V tmp;
    
    init_rand();
    scanf(""%d"", &n);
    m = 0;
    for (i = 0; i < n; i++) {
        struct V *v;
        
        scanf(""%d%d%d%d"", &x1, &y1, &x2, &y2), x1 += Z, y1 += Z, x2 += Z, y2 += Z;
        v = &vv[m++];
        v->y = y1, v->l = x1, v->r = x2, v->add = 1;
        v = &vv[m++];
        v->y = y2, v->l = x1, v->r = x2, v->add = 0;
    }
    for (j = 0; j < m; j++) {
        i = rand_(j + 1);
        tmp = vv[i], vv[i] = vv[j], vv[j] = tmp;
    }
    qsort(vv, m, sizeof *vv, compare);
    y = -1;
    ans = 0;
    for (h = 0; h < m; h++) {
        struct V *v = &vv[h];
        
        if (y != -1)
            ans += (long long) (v->y - y) * tr[0];
        y = v->y;
        update(0, 0, A, v->l, v->r, v->add ? 1 : -1);
    }
    printf(""%lld\n"", ans);
    return 0;
}
"
Bit Inversions,C++,"#include <bits/stdc++.h>
#include <ext/pb_ds/tree_policy.hpp>
#include <ext/pb_ds/assoc_container.hpp>

using namespace std;
using namespace __gnu_pbds;

typedef long long ll;
typedef vector<int> vi;
typedef pair<int, int> pii;
template <class T> using Tree = tree<T, null_type, less<T>, rb_tree_tag,tree_order_statistics_node_update>;

#define FOR(i, a, b) for (int i=a; i<(b); i++)
#define F0R(i, a) for (int i=0; i<(a); i++)
#define FORd(i,a,b) for (int i = (b)-1; i >= a; i--)
#define F0Rd(i,a) for (int i = (a)-1; i >= 0; i--)

#define sz(x) (int)(x).size()
#define mp make_pair
#define pb push_back
#define f first
#define s second
#define lb lower_bound
#define ub upper_bound
#define all(x) x.begin(), x.end()

const int MOD = 1000000007;

string s;
int m;
multiset<int> ans,ret;

void modify(int x) {
    if (x == 0 || x == sz(s)) return;
    if (ans.count(x)) {
        auto it = ans.find(x);
        int a = *prev(it), b = *next(it);
        ret.erase(ret.find(x-a)), ret.erase(ret.find(b-x));
        ret.insert(b-a);
        ans.erase(it);
    } else {
        ans.insert(x);
        auto it = ans.find(x);
        int a = *prev(it), b = *next(it);
        ret.erase(ret.find(b-a));
        ret.insert(x-a), ret.insert(b-x);
    }
}

int main() {
    ios_base::sync_with_stdio(0); cin.tie(0);
    cin >> s >> m;
    ans.insert(0);
    ans.insert(sz(s));
    F0R(i,sz(s)-1) if (s[i] != s[i+1]) ans.insert(i+1);
    for (auto it = ans.begin(); next(it) != ans.end(); it ++)
        ret.insert(*next(it)-*it);
    
    F0R(i,m) {
        int x; cin >> x;
        modify(x-1); modify(x);
        cout << *ret.rbegin() << "" "";
    }
}

// read!read!read!read!read!read!read!read!read!read!read!read!read!read!read!read!
// ll vs. int!
"
Bit Inversions,C++,"#include <bits/stdc++.h>
using namespace std;

#define rep(i, a, b) for(int i = a; i < (b); ++i)
#define trav(a, x) for(auto& a : x)
#define all(x) begin(x), end(x)
#define sz(x) (int)(x).size()
typedef long long ll;
typedef pair<int, int> pii;
typedef vector<int> vi;

set<int> b;
multiset<int> d;

void rem(int x) {
    auto p=b.find(x);
    int L=*prev(p), R=*next(p);
    d.erase(d.find(x-L));
    d.erase(d.find(R-x));
    d.insert(R-L);
    b.erase(x);
}

void add(int x) {
    auto p=b.insert(x).first;
    int L=*prev(p), R=*next(p);
    if (d.find(R-L)==d.end()) cout << ""??\n"" << endl;
    d.erase(d.find(R-L));
    d.insert(x-L);
    d.insert(R-x);
    b.insert(x);
}

int main() {
    cin.sync_with_stdio(0); cin.tie(0);
    cin.exceptions(cin.failbit);
    
    string s;
    cin >> s;
    int n=sz(s);
    vi x(n+2);
    x[0]=x[n+1]=-1;
    rep(i, 0, n) x[i+1]=s[i]-'0';
    rep(i, 0, n+1) if (x[i]!=x[i+1]) {
        if (sz(b)) d.insert(i-*b.rbegin());
        b.insert(i);
    }
    int q;
    cin >> q;
    while (q--) {
        int a;
        cin >> a;
        if (x[a]==x[a+1]) add(a);
        if (x[a]==x[a-1]) add(a-1);
        x[a]^=1;
        if (x[a]==x[a+1]) rem(a);
        if (x[a]==x[a-1]) rem(a-1);
        cout << *d.rbegin() << "" \n""[q==0];
    }
    return 0;
}
"
