ID,Name,Date,Tag
U-2,578C — Weakness and Poorness WA,2019-04-04,data structures
U-2,578C — Weakness and Poorness WA,2019-04-04,greedy
U-11,Paths in graphs....,2019-04-25,binary search
U-11,Paths in graphs....,2019-04-25,greedy
U-11,Paths in graphs....,2019-04-25,graphs
U-11,Cheating in Codeforces rounds,2020-07-06,math
U-11,Cheating in Codeforces rounds,2020-07-06,number theory
U-11,Cheating in Codeforces rounds,2020-07-06,greedy
U-11,Cheating in Codeforces rounds,2020-07-06,implementation
U-11,Cheating in Codeforces rounds,2020-07-06,graphs
U-53,Bitwise and of subarray sums problem,2013-12-17,number theory
U-53,Bitwise and of subarray sums problem,2013-12-17,data structures
U-53,Bitwise and of subarray sums problem,2013-12-17,graphs
U-53,Bitwise and of subarray sums problem,2013-12-17,dp
U-57,Help with problem involving bitmasking and SOS dp .,2017-03-30,dp
U-57,Doubt regarding policy based data structure,2011-12-04,number theory
U-57,Doubt regarding policy based data structure,2011-12-04,data structures
U-57,Doubt regarding policy based data structure,2011-12-04,math
U-57,Doubt regarding policy based data structure,2011-12-04,graphs
U-57,How to give team contests during pandemic ?,2016-03-29,math
U-57,How to give team contests during pandemic ?,2016-03-29,binary search
U-57,How to give team contests during pandemic ?,2016-03-29,dp
U-57,How to give team contests during pandemic ?,2016-03-29,implementation
U-57,How to give team contests during pandemic ?,2016-03-29,strings
U-57,Help with Problem involving XOR,2011-09-05,strings
U-57,help in a problem TRENDGCD at spoj,2013-09-04,strings
U-65,IZHO editorials,2020-12-23,brute force
U-65,IZHO editorials,2020-12-23,graphs
U-65,IZHO editorials,2020-12-23,strings
U-65,IZHO editorials,2020-12-23,implementation
U-87,regarding precomputation run time calculation on spoj,2020-06-08,strings
U-87,regarding precomputation run time calculation on spoj,2020-06-08,implementation
U-101,Same solution one got tle on 11th tc. one accepted after system testing????,2018-08-23,binary search
U-101,Same solution one got tle on 11th tc. one accepted after system testing????,2018-08-23,strings
U-104,Please help me with memset() and fill(),2014-06-15,implementation
U-104,Please help me with memset() and fill(),2014-06-15,binary search
U-104,Please help me with memset() and fill(),2014-06-15,strings
U-104,Please help me with memset() and fill(),2014-06-15,graphs
U-104,Please help me with memset() and fill(),2014-06-15,math
U-105,Strange error ,2012-01-31,brute force
U-105,Strange error ,2012-01-31,strings
U-105,Strange error ,2012-01-31,binary search
U-116,Codeforces Round #671 Editorial,2017-04-20,greedy
U-116,Codeforces Round #671,2017-10-26,binary search
U-116,Codeforces Round #671,2017-10-26,strings
