Users_ID,Name,Problem_ID
U-1,crottles,315
U-1,crottles,574
U-1,crottles,914
U-1,crottles,603
U-1,kupang,431
U-1,kupang,331
U-1,kupang,813
U-1,kupang,846
U-1,autochthon,408
U-1,autochthon,109
U-1,autochthon,798
U-1,autochthon,857
U-1,autochthon,887
U-1,autochthon,859
U-2,sasquatch,136
U-2,sasquatch,1173
U-2,sasquatch,1089
U-2,sasquatch,587
U-2,sasquatch,550
U-2,sasquatch,841
U-2,acrogens,1136
U-2,acrogens,84
U-2,acrogens,451
U-2,acrogens,922
U-2,acrogens,99
U-2,acrogens,315
U-2,propulsion,468
U-2,propulsion,245
U-2,propulsion,108
U-2,flameless,847
U-2,flameless,107
U-2,flameless,988
U-2,flameless,15
U-2,flameless,365
U-3,Panicum,928
U-3,Panicum,112
U-3,allurers,254
U-3,allurers,1129
U-3,allurers,1017
U-3,allurers,811
U-3,dialkyl,428
U-3,dialkyl,636
U-3,dialkyl,1068
U-3,dialkyl,477
U-4,neckcloths,131
U-4,neckcloths,719
U-4,neckcloths,937
U-5,symbiote,331
U-5,symbiote,122
U-5,symbiote,567
U-5,symbiote,1040
U-5,purpart,813
U-5,purpart,21
U-5,purpart,953
U-5,purpart,816
U-5,purpart,740
U-5,purpart,930
U-5,weirdly,1116
U-5,weirdly,743
U-5,weirdly,729
U-5,weirdly,866
U-6,classicise,844
U-6,classicise,600
U-6,classicise,543
U-6,classicise,315
U-6,candidates,449
U-6,candidates,287
U-6,candidates,202
U-6,candidates,404
U-6,candidates,468
U-6,nobody,574
U-6,nobody,231
U-6,nobody,756
U-6,nobody,1070
U-7,hurting,99
U-7,hurting,758
U-8,desultor,938
U-8,desultor,444
U-8,desultor,588
U-8,desultor,304
U-9,sheeted,346
U-9,sheeted,209
U-9,sheeted,730
U-9,sheeted,78
U-9,sheeted,518
U-9,bimodular,148
U-9,bimodular,54
U-9,bimodular,1041
U-9,bimodular,1121
U-9,bimodular,495
U-9,unfleshed,885
U-9,unfleshed,11
U-9,unfleshed,335
U-9,unfleshed,508
U-9,unfleshed,641
U-9,unfleshed,337
U-10,left-brain,503
U-10,left-brain,1056
U-10,carnauba,388
U-10,carnauba,827
U-10,carnauba,660
U-10,carnauba,1046
U-10,carnauba,336
U-10,nitta-tree,666
U-10,nitta-tree,561
U-10,finchlike,64
U-10,finchlike,814
U-10,finchlike,718
U-10,finchlike,490
U-10,finchlike,259
U-11,fairleads,646
U-11,fairleads,369
U-11,sakpata,328
U-11,sakpata,167
U-11,sakpata,555
U-11,sakpata,1089
U-11,sakpata,1007
U-11,trade,55
U-11,trade,88
U-12,cloze,392
U-12,cloze,981
U-13,teuthis,1142
U-13,teuthis,494
U-13,teuthis,623
U-14,sedentary,662
U-14,sedentary,433
U-14,sedentary,126
U-14,sedentary,100
U-14,sedentary,1036
U-14,sedentary,499
U-14,apieces,380
U-14,apieces,561
U-15,genever,296
U-15,genever,518
U-15,genever,804
U-15,genever,159
U-15,allemand,918
U-15,allemand,1004
U-15,allemand,518
U-16,sockeye,729
U-16,sockeye,383
U-16,sockeye,52
U-16,sockeye,866
U-16,respecters,536
U-16,respecters,1061
U-16,respecters,1181
U-16,respecters,716
U-16,respecters,57
U-16,deplanate,715
U-16,deplanate,107
U-16,racetracks,16
U-16,racetracks,144
U-16,racetracks,289
U-16,racetracks,256
U-16,racetracks,1177
U-17,crawls,12
U-17,crawls,622
U-17,crawls,929
U-17,crawls,280
U-17,crawls,927
U-17,crawls,736
U-17,anode,259
U-17,anode,451
U-17,anode,1034
U-17,Achæans,123
U-17,Achæans,1184
U-17,Achæans,668
U-18,ticked,460
U-18,ticked,711
U-18,ticked,481
U-18,ticked,1038
U-18,ticked,869
U-18,doomsman,1023
U-18,doomsman,86
U-18,doomsman,743
U-18,constative,296
U-18,constative,1141
U-18,constative,77
U-18,sadiron,438
U-18,sadiron,500
U-19,pooftah,449
U-19,pooftah,676
U-19,paralysing,721
U-19,paralysing,128
U-19,paralysing,47
U-19,homme,90
U-19,homme,608
U-20,oleos,1102
U-20,oleos,527
U-20,oleos,174
U-20,oleos,623
U-20,supermind,165
U-20,supermind,5
U-20,supermind,220
U-20,supermind,786
U-20,anesthesia,751
U-20,anesthesia,978
U-20,anesthesia,143
U-20,ungown,1186
U-20,ungown,120
U-20,ungown,1051
