ID,Group_ID,Name,DateOfFormation,Size
U-107,1,Lausanne,2016-04-01,11
U-180,2,restocks,2019-02-28,15
U-17,3,wisterias,2007-08-20,9
U-88,4,quaggas,2020-01-30,12
U-91,5,neckband,2016-09-02,14
U-206,6,hurdles,2020-05-24,7
U-151,7,esophagoscopy,2019-10-31,14
U-295,8,adventitia,2016-06-19,12
U-238,9,shit-fit,2020-08-19,12
U-252,10,underage,2013-09-28,14
U-249,11,unmaker,2010-12-30,17
U-89,12,exacter,2017-02-09,15
U-222,13,lodger,2012-03-16,17
U-248,14,omitter,2019-01-08,18
U-270,15,prudency,2015-11-15,7
U-179,16,crocheting,2010-10-21,20
U-159,17,sarcenet,2020-12-02,3
U-60,18,,2019-09-27,19
U-268,19,,2020-08-02,9
U-18,20,nonabrasive,2017-07-16,7
U-127,21,costless,2019-04-27,17
U-235,22,vice-chairman,2020-02-25,6
U-226,23,julis,2011-08-28,10
U-155,24,lick-box,2015-05-21,13
U-175,25,versus,2020-02-22,18
U-45,26,bracteole,2017-01-22,13
U-132,27,Tasering,2014-02-03,5
U-247,28,apate,2013-03-18,7
U-85,29,oxalyl,2017-10-13,12
U-30,30,megaphonic,2015-04-28,17
U-99,31,tormentresses,2009-07-06,16
U-181,32,skied,2018-07-22,4
U-163,33,Mister Man,2006-04-29,17
U-123,34,concealers,2014-01-25,4
U-46,35,polaski,2019-04-13,20
U-61,36,muffin-cap,2019-11-27,4
U-204,37,bustitution,2011-12-23,18
U-21,38,transluminal,2014-10-04,2
U-186,39,habilatory,2020-01-05,10
U-73,40,decoding,2020-03-15,18
U-137,41,ruinations,2019-09-01,13
U-169,42,cottonous,2018-10-31,7
U-279,43,single-blind,2014-08-05,6
U-196,44,moisturiser,2018-01-19,17
U-227,45,matrilocality,2018-05-20,16
U-185,46,cholestasis,2020-09-25,6
U-200,47,cainito,2015-01-23,2
U-230,48,pedaloes,2013-07-17,9
U-158,49,roomage,2019-07-19,7
U-31,50,woodhewer,2018-10-06,15
