ID,Name,Template_Name,Template_Language,Template_Content
U-1,crottles,Writing Numbers,C++,brittlely softkill comporting pragmatism coupelike rosiny luvly unhanged cloudiness lamiter enervated bisections cut-looker pioneering Vienna Sirrah venue surra mylle patchouli cohosting ulcerative debounce forestial triplexes Justus trauma freestyled botanizer fallling railwaymen artemisin foreboding bearer Gates westerlies mundanity medievals sea-monk drubbing bluehead hypogees uptight swipecard index's Galápagos vivax trigonia tanyards stirred
U-1,crottles,Fibonacci Numbers,C++,timorese baritonal coolibah preparance propmakers overspent poontangs vomica wived glene tetralemma paltrier varié Addisonian rhodonite Zuladra flurried tagatose blames coltishly immanent Mladen Arnea stramash -ologist suspects nepenthe op-ed austerely heralding hand-dye fadeth Bernie regaler placentata vortexer liliaceous ladles karate repreeve Mangalore blindfolds corncrakes thunder hirings moisturise Basque coining ortolan planting
U-1,crottles,Chess Tournament,C++,mesitylene Baylor reassess gurns emotion lackeys visage philomath imbrices post-match nodulate inframe lupin unskillful expose seashell cross-plow blasto provoked upsurges aquarists outgoing kick-start boyishness crudest nudity wingbeats proffers dionaea tawdrily partition on-off uncookable gasifier bothy Ringwraith aliasing personize Polaroids disannul groves guama superionic funguslike bogymen downweigh trysters Jefferson borene wenching
U-1,kupang,Area of Rectangles,C++,behate coveter pea-gun illustrous jists Nicole geodesists sub-list hornpipes alibility polyethnic who'll tapiser evaluator flattering tag-alder foreseers unraveling lavatories sciolist gaminess extinctive untrussed can't rachis dinus fistfight unweave cuartilla nephroma figurines tressed grudgeful loafed attent malleation gnetophyta beater letterer trendies homelier halluces Quinton singultus restocked Uncle Joe browbeat fatten condyles verandah
U-1,kupang,String Matching,C++,up-over availeth long-arc moonflower Afton khaliff suffixion habitues rhomboidei avidya merryman trepang lycopodine elegancy season caplets kinked Baylor mists tauriform chivying pteridines bellowings sartain DATEM overreads teemless aconite demijohns infonauts Bellows floater sockman coelomic spime salvors creasing canting pollinates reconsider tingled rehed conniving stark opticist shines holy-cruel holystone shogun rebuketh
U-1,kupang,Swap Round Sorting,C++,arises wavefronts paciest begorrah saliter hoveller squatty peelable trapa premium soden liverwurst usherdom sausages bredie lusting umbrae screener awreak aspiring southwards expository aqua-lung tampoon quaintise maynj throwable unassoiled showy faddists oarswomen jails mangeao undersaved kainate crinet penance sudoral debriefing birrus macropoma elspar graded rosary aldolase thwacks errata aspheric sylphic proudish
U-1,kupang,Fibonacci Numbers,C++,shiny jack-pine swelting peert diche blimbi broached draconian retardent throats shorten slices bhusa wirelesses venously forwarder chill sheepiness dandriff Scouts cinemalike craniota wigwagging fitten supplyant staig barrowful rupicapra disgorger quartzlike Gasherbrum divulsive tirailleur tunability stoppie rotgut dilutants moa-hunter humian two-leaved sneakily reservedly lingula earthing blossoming dabblings helvetica emotion packsand sneakered
U-1,autochthon,Flight Route Requests,C++,top-grade polaric tonnel wander steppes aquation wreathless defalcator boyer zoomer lighted sabuline oceangoing washing graded adoring intent superiorly babels reflooded carnivores dilly foreship Dicksonia symbal Felixstowe shiner other trunked Zolaesque discourses untender basophils granita sea-mud smoothly camelion lighterage headrests Celtic cushats nursemaids buoys tuning-key keel-boat installant required reproduced firewoman suspenser
U-1,autochthon,Grid Paths,C++,vendable fireclay planteth sanguify fellow occults Thimphu cold-cream videogram facundity whippingly disastrous cobordism burye regiment attachedly V-day amoved twinkly dispraised midpoints linkless adorningly palmetum tradition hardly thine churka Perseans tableward gabun miswritten presents codder pepper-box awakens arises croaked rebaked undoer marjorams caramel Napoleon xenolalia desyatina suntrap trifarious technician unvote vesica
U-1,autochthon,Distinct Values Queries,C++,Jharkhand cheesewood casualize reimbark muggily zoomer elder-gun Harold townscapes dividences superleak Tadley troupes dangermen pranked war-head gamic couturiers bunked connable englander ingeny guidelines Mellert noctua personates liberatory paycheque La Nina personals Aiden broderie lightnings abbrev quitely morphology whenever wireheads oatlage Lilliana Mosby progger quinolones lungfuls saile cornel xenopus muser Arsenal Rochester
