Users_ID,Name,Problem_ID
U-1,crottles,1174
U-1,crottles,348
U-1,kupang,515
U-1,kupang,833
U-1,kupang,1053
U-1,kupang,541
U-1,kupang,448
U-1,kupang,23
U-1,autochthon,252
U-1,autochthon,953
U-1,autochthon,1168
U-1,autochthon,904
U-1,autochthon,1111
U-1,autochthon,108
U-2,sasquatch,717
U-2,sasquatch,715
U-2,sasquatch,911
U-2,sasquatch,1141
U-2,sasquatch,192
U-2,sasquatch,496
U-2,acrogens,358
U-2,acrogens,946
U-2,acrogens,589
U-2,propulsion,921
U-2,propulsion,433
U-2,propulsion,225
U-2,propulsion,437
U-2,propulsion,762
U-2,propulsion,140
U-2,flameless,952
U-2,flameless,635
U-3,Panicum,166
U-3,Panicum,707
U-3,Panicum,541
U-3,Panicum,657
U-3,allurers,991
U-3,allurers,964
U-3,allurers,577
U-3,allurers,561
U-3,dialkyl,219
U-3,dialkyl,341
U-3,dialkyl,508
U-3,dialkyl,99
U-4,neckcloths,450
U-4,neckcloths,571
U-4,neckcloths,458
U-4,neckcloths,1144
U-4,neckcloths,333
U-4,neckcloths,864
U-5,symbiote,662
U-5,symbiote,516
U-5,symbiote,782
U-5,symbiote,942
U-5,symbiote,419
U-5,symbiote,1158
U-5,purpart,731
U-5,purpart,825
U-5,purpart,229
U-5,weirdly,202
U-5,weirdly,206
U-5,weirdly,529
U-5,weirdly,618
U-5,weirdly,169
U-6,classicise,1025
U-6,classicise,514
U-6,classicise,636
U-6,classicise,570
U-6,candidates,1192
U-6,candidates,634
U-6,candidates,725
U-6,candidates,186
U-6,candidates,366
U-6,nobody,777
U-6,nobody,1008
U-7,hurting,880
U-7,hurting,351
U-7,hurting,61
U-7,hurting,351
U-7,hurting,1087
U-8,desultor,1162
U-8,desultor,394
U-9,sheeted,1090
U-9,sheeted,335
U-9,sheeted,452
U-9,bimodular,850
U-9,bimodular,1075
U-9,bimodular,548
U-9,bimodular,400
U-9,bimodular,461
U-9,unfleshed,1069
U-9,unfleshed,1038
U-10,left-brain,970
U-10,left-brain,282
U-10,left-brain,165
U-10,left-brain,590
U-10,left-brain,990
U-10,carnauba,294
U-10,carnauba,948
U-10,carnauba,42
U-10,nitta-tree,358
U-10,nitta-tree,63
U-10,finchlike,994
U-10,finchlike,920
U-10,finchlike,906
U-10,finchlike,1032
U-10,finchlike,731
U-11,fairleads,476
U-11,fairleads,1133
U-11,fairleads,550
U-11,sakpata,256
U-11,sakpata,152
U-11,trade,543
U-11,trade,1062
U-11,trade,21
U-12,cloze,1148
U-12,cloze,475
U-12,cloze,512
U-12,cloze,443
U-12,cloze,106
U-13,teuthis,308
U-13,teuthis,953
U-13,teuthis,990
U-13,teuthis,51
U-13,teuthis,864
U-13,teuthis,522
U-14,sedentary,412
U-14,sedentary,817
U-14,sedentary,251
U-14,sedentary,151
U-14,sedentary,719
U-14,sedentary,177
U-14,apieces,1123
U-14,apieces,969
U-14,apieces,1119
U-15,genever,682
U-15,genever,851
U-15,genever,932
U-15,genever,674
U-15,allemand,865
U-15,allemand,617
U-15,allemand,804
U-15,allemand,997
U-15,allemand,549
U-15,allemand,296
U-16,sockeye,225
U-16,sockeye,116
U-16,sockeye,969
U-16,sockeye,617
U-16,sockeye,1098
U-16,sockeye,747
U-16,respecters,537
U-16,respecters,365
U-16,respecters,917
U-16,deplanate,351
U-16,deplanate,706
U-16,deplanate,639
U-16,deplanate,947
U-16,deplanate,926
U-16,racetracks,812
U-16,racetracks,729
U-17,crawls,221
U-17,crawls,226
U-17,crawls,674
U-17,crawls,632
U-17,crawls,894
U-17,anode,1184
U-17,anode,348
U-17,anode,437
U-17,anode,1007
U-17,anode,1012
U-17,Achæans,997
U-17,Achæans,769
U-18,ticked,1096
U-18,ticked,170
U-18,doomsman,138
U-18,doomsman,190
U-18,doomsman,913
U-18,constative,921
U-18,constative,970
U-18,constative,99
U-18,constative,68
U-18,sadiron,705
U-18,sadiron,998
U-19,pooftah,578
U-19,pooftah,316
U-19,pooftah,1004
U-19,pooftah,1166
U-19,pooftah,383
U-19,paralysing,627
U-19,paralysing,647
U-19,paralysing,23
U-19,paralysing,259
U-19,paralysing,99
U-19,paralysing,603
U-19,homme,122
U-19,homme,691
U-19,homme,133
U-19,homme,1111
U-19,homme,846
U-19,homme,887
U-20,oleos,1100
U-20,oleos,451
U-20,oleos,46
U-20,oleos,986
U-20,oleos,463
U-20,supermind,570
U-20,supermind,1031
U-20,supermind,735
U-20,anesthesia,953
U-20,anesthesia,788
U-20,anesthesia,524
U-20,anesthesia,551
U-20,ungown,1059
U-20,ungown,357
U-20,ungown,36
U-21,sempitern,690
U-21,sempitern,1110
U-21,sempitern,562
U-21,sempitern,950
U-21,sempitern,632
U-21,sempitern,950
U-22,mustered,309
U-22,mustered,376
U-22,teguments,65
U-22,teguments,1190
U-22,teguments,511
U-22,teguments,874
U-22,teguments,1139
U-22,teguments,94
U-22,preceptial,918
U-22,preceptial,477
U-22,preceptial,987
U-22,preceptial,1139
U-23,urinating,762
U-23,urinating,102
U-23,urinating,240
U-23,moulded,40
U-23,moulded,217
U-23,moulded,242
U-24,somnolence,570
U-24,somnolence,672
U-24,somnolence,866
U-24,somnolence,1054
U-24,somnolence,79
U-24,somnolence,1088
U-24,nonlead,978
U-24,nonlead,336
U-24,nonlead,983
U-24,nonlead,222
U-25,signed,338
U-25,signed,41
U-25,signed,901
U-25,signed,575
U-25,signed,448
U-25,signed,332
U-25,immeuble,1089
U-25,immeuble,1105
U-25,immeuble,624
U-25,immeuble,853
U-25,immeuble,527
U-25,aquarelle,1027
U-25,aquarelle,261
U-25,aquarelle,700
U-26,targetted,170
U-26,targetted,967
U-26,targetted,1192
U-26,ruthfully,945
U-26,ruthfully,391
U-26,spinus,402
U-26,spinus,498
U-26,spinus,540
U-27,béguin,1112
U-27,béguin,1041
U-27,béguin,650
U-27,béguin,154
U-28,honeydewed,422
U-28,honeydewed,832
U-28,honeydewed,245
U-28,consonancy,938
U-28,consonancy,606
U-28,consonancy,650
U-28,millwheels,59
U-28,millwheels,843
U-28,millwheels,1090
U-28,Sharisha,632
U-28,Sharisha,1026
U-28,Sharisha,257
U-29,feudal,376
U-29,feudal,1040
U-29,feudal,1022
U-29,feudal,164
U-29,feudal,264
U-29,snowscapes,786
U-29,snowscapes,48
U-29,snowscapes,791
U-29,snowscapes,55
U-30,deca-,990
U-30,deca-,36
U-30,metwand,854
U-30,metwand,643
U-30,metwand,829
U-30,metwand,562
U-30,metwand,701
U-30,watershoot,686
U-30,watershoot,91
U-30,Bancroft,332
U-30,Bancroft,45
U-30,Bancroft,715
U-30,Bancroft,491
U-31,spy-fi,792
U-31,spy-fi,630
U-31,spy-fi,732
U-31,spy-fi,623
U-31,bordelaise,536
U-31,bordelaise,741
U-31,bordelaise,1071
U-31,newsweekly,285
U-31,newsweekly,599
U-31,newsweekly,999
U-31,newsweekly,1005
U-31,newsweekly,528
U-31,papabot,66
U-31,papabot,1082
U-31,papabot,262
U-32,centurions,689
U-32,centurions,1031
U-32,centurions,37
U-32,gemmation,858
U-32,gemmation,988
U-32,gemmation,538
U-32,gemmation,581
U-32,gemmation,713
U-32,t-junction,425
U-32,t-junction,918
U-32,t-junction,355
U-32,t-junction,534
U-32,t-junction,540
U-32,t-junction,346
U-32,bheesty,835
U-32,bheesty,249
U-32,bheesty,169
U-32,bheesty,1134
U-32,bheesty,830
U-33,metalsmith,1168
U-33,metalsmith,582
U-33,metalsmith,255
U-33,metalsmith,763
U-33,metalsmith,870
U-33,metalsmith,396
U-33,detailing,38
U-33,detailing,1116
U-33,detailing,48
U-33,detailing,17
U-33,detailing,351
U-33,detailing,839
U-33,tinder-box,342
U-33,tinder-box,936
U-33,tinder-box,471
U-33,ultrasonic,1006
U-33,ultrasonic,354
U-33,ultrasonic,842
U-34,rudderfish,559
U-34,rudderfish,489
U-34,rudderfish,344
U-34,rudderfish,646
U-34,rudderfish,111
U-35,headachey,1010
U-35,headachey,567
U-35,headachey,14
U-35,headachey,44
U-35,headachey,1192
U-35,headachey,167
U-35,oxfords,216
U-35,oxfords,1067
